stem,algorithm,metric,value,n_crowd_beats,n_algorithm_beats
1uldbfT264k,beat_this,Information gain,0.3671066292639569,30,30
28JvbWHN6w0,madmom,F-measure,0.34375,39,25
28JvbWHN6w0,madmom,Cemgil,0.286761543498537,39,25
28JvbWHN6w0,madmom,Cemgil Best Metric Level,0.36832503602322636,39,25
28JvbWHN6w0,madmom,Goto,0.0,39,25
28JvbWHN6w0,madmom,P-score,0.3076923076923077,39,25
28JvbWHN6w0,madmom,Correct Metric Level Continuous,0.0,39,25
28JvbWHN6w0,madmom,Correct Metric Level Total,0.0,39,25
28JvbWHN6w0,madmom,Any Metric Level Continuous,0.04,39,25
28JvbWHN6w0,madmom,Any Metric Level Total,0.04,39,25
28JvbWHN6w0,madmom,Information gain,0.2061719659575643,39,25
28JvbWHN6w0,beat_this,F-measure,0.6551724137931034,39,19
28JvbWHN6w0,beat_this,Cemgil,0.6060723430308832,39,19
28JvbWHN6w0,beat_this,Cemgil Best Metric Level,0.925057786731348,39,19
28JvbWHN6w0,beat_this,Goto,0.0,39,19
28JvbWHN6w0,beat_this,P-score,0.48717948717948717,39,19
28JvbWHN6w0,beat_this,Correct Metric Level Continuous,0.0,39,19
28JvbWHN6w0,beat_this,Correct Metric Level Total,0.0,39,19
28JvbWHN6w0,beat_this,Any Metric Level Continuous,1.0,39,19
28JvbWHN6w0,beat_this,Any Metric Level Total,1.0,39,19
28JvbWHN6w0,beat_this,Information gain,0.4929150719870795,39,19
2SeNCoP6Zy8,madmom,F-measure,1.0,32,32
2SeNCoP6Zy8,madmom,Cemgil,0.9916949175842972,32,32
2SeNCoP6Zy8,madmom,Cemgil Best Metric Level,0.9916949175842972,32,32
2SeNCoP6Zy8,madmom,Goto,1.0,32,32
2SeNCoP6Zy8,madmom,P-score,1.0,32,32
2SeNCoP6Zy8,madmom,Correct Metric Level Continuous,1.0,32,32
2SeNCoP6Zy8,madmom,Correct Metric Level Total,1.0,32,32
2SeNCoP6Zy8,madmom,Any Metric Level Continuous,1.0,32,32
2SeNCoP6Zy8,madmom,Any Metric Level Total,1.0,32,32
2SeNCoP6Zy8,madmom,Information gain,0.8485729818842953,32,32
2SeNCoP6Zy8,beat_this,F-measure,0.9846153846153847,32,33
2SeNCoP6Zy8,beat_this,Cemgil,0.9144049619852924,32,33
2SeNCoP6Zy8,beat_this,Cemgil Best Metric Level,0.9144049619852924,32,33
2SeNCoP6Zy8,beat_this,Goto,1.0,32,33
2SeNCoP6Zy8,beat_this,P-score,0.9696969696969697,32,33
2SeNCoP6Zy8,beat_this,Correct Metric Level Continuous,0.9696969696969697,32,33
2SeNCoP6Zy8,beat_this,Correct Metric Level Total,0.9696969696969697,32,33
2SeNCoP6Zy8,beat_this,Any Metric Level Continuous,0.9696969696969697,32,33
2SeNCoP6Zy8,beat_this,Any Metric Level Total,0.9696969696969697,32,33
2SeNCoP6Zy8,beat_this,Information gain,0.7671406179831942,32,33
30zfbFdeY7g,madmom,F-measure,1.0,28,28
30zfbFdeY7g,madmom,Cemgil,0.9400501233058106,28,28
30zfbFdeY7g,madmom,Cemgil Best Metric Level,0.9400501233058106,28,28
30zfbFdeY7g,madmom,Goto,1.0,28,28
30zfbFdeY7g,madmom,P-score,1.0,28,28
30zfbFdeY7g,madmom,Correct Metric Level Continuous,1.0,28,28
30zfbFdeY7g,madmom,Correct Metric Level Total,1.0,28,28
30zfbFdeY7g,madmom,Any Metric Level Continuous,1.0,28,28
30zfbFdeY7g,madmom,Any Metric Level Total,1.0,28,28
30zfbFdeY7g,madmom,Information gain,0.6095842323547481,28,28
30zfbFdeY7g,beat_this,F-measure,1.0,28,28
30zfbFdeY7g,beat_this,Cemgil,0.9565110303065182,28,28
30zfbFdeY7g,beat_this,Cemgil Best Metric Level,0.9565110303065182,28,28
30zfbFdeY7g,beat_this,Goto,1.0,28,28
30zfbFdeY7g,beat_this,P-score,1.0,28,28
30zfbFdeY7g,beat_this,Correct Metric Level Continuous,1.0,28,28
30zfbFdeY7g,beat_this,Correct Metric Level Total,1.0,28,28
30zfbFdeY7g,beat_this,Any Metric Level Continuous,1.0,28,28
30zfbFdeY7g,beat_this,Any Metric Level Total,1.0,28,28
30zfbFdeY7g,beat_this,Information gain,0.6310444663391358,28,28
3NqMmAYSrJw,madmom,F-measure,1.0,28,28
3NqMmAYSrJw,madmom,Cemgil,0.9412797086276756,28,28
3NqMmAYSrJw,madmom,Cemgil Best Metric Level,0.9412797086276756,28,28
3NqMmAYSrJw,madmom,Goto,1.0,28,28
3NqMmAYSrJw,madmom,P-score,1.0,28,28
3NqMmAYSrJw,madmom,Correct Metric Level Continuous,1.0,28,28
3NqMmAYSrJw,madmom,Correct Metric Level Total,1.0,28,28
3NqMmAYSrJw,madmom,Any Metric Level Continuous,1.0,28,28
3NqMmAYSrJw,madmom,Any Metric Level Total,1.0,28,28
3NqMmAYSrJw,madmom,Information gain,0.8209636941875861,28,28
3NqMmAYSrJw,beat_this,F-measure,0.6666666666666666,28,14
3NqMmAYSrJw,beat_this,Cemgil,0.5865003577753092,28,14
3NqMmAYSrJw,beat_this,Cemgil Best Metric Level,0.8797505366629637,28,14
3NqMmAYSrJw,beat_this,Goto,0.0,28,14
3NqMmAYSrJw,beat_this,P-score,0.5,28,14
3NqMmAYSrJw,beat_this,Correct Metric Level Continuous,0.0,28,14
3NqMmAYSrJw,beat_this,Correct Metric Level Total,0.0,28,14
3NqMmAYSrJw,beat_this,Any Metric Level Continuous,1.0,28,14
3NqMmAYSrJw,beat_this,Any Metric Level Total,1.0,28,14
3NqMmAYSrJw,beat_this,Information gain,0.723483308918957,28,14
3OByv5luEjc,madmom,F-measure,0.689655172413793,30,28
3OByv5luEjc,madmom,Cemgil,0.6554152343216711,30,28
3OByv5luEjc,madmom,Cemgil Best Metric Level,0.6554152343216711,30,28
3OByv5luEjc,madmom,Goto,0.0,30,28
3OByv5luEjc,madmom,P-score,0.7333333333333333,30,28
3OByv5luEjc,madmom,Correct Metric Level Continuous,0.6666666666666666,30,28
3OByv5luEjc,madmom,Correct Metric Level Total,0.6666666666666666,30,28
3OByv5luEjc,madmom,Any Metric Level Continuous,0.6666666666666666,30,28
3OByv5luEjc,madmom,Any Metric Level Total,0.6666666666666666,30,28
3OByv5luEjc,madmom,Information gain,0.38745761570938286,30,28
3OByv5luEjc,beat_this,F-measure,0.983050847457627,30,29
3OByv5luEjc,beat_this,Cemgil,0.9212654744126512,30,29
3OByv5luEjc,beat_this,Cemgil Best Metric Level,0.9212654744126512,30,29
3OByv5luEjc,beat_this,Goto,1.0,30,29
3OByv5luEjc,beat_this,P-score,0.9666666666666667,30,29
3OByv5luEjc,beat_this,Correct Metric Level Continuous,0.9666666666666667,30,29
3OByv5luEjc,beat_this,Correct Metric Level Total,0.9666666666666667,30,29
3OByv5luEjc,beat_this,Any Metric Level Continuous,0.9666666666666667,30,29
3OByv5luEjc,beat_this,Any Metric Level Total,0.9666666666666667,30,29
3OByv5luEjc,beat_this,Information gain,0.6118004771498872,30,29
3QuyNWZoKgk,madmom,F-measure,1.0,25,25
3QuyNWZoKgk,madmom,Cemgil,0.9115651905962529,25,25
3QuyNWZoKgk,madmom,Cemgil Best Metric Level,0.9115651905962529,25,25
3QuyNWZoKgk,madmom,Goto,1.0,25,25
3QuyNWZoKgk,madmom,P-score,1.0,25,25
3QuyNWZoKgk,madmom,Correct Metric Level Continuous,1.0,25,25
3QuyNWZoKgk,madmom,Correct Metric Level Total,1.0,25,25
3QuyNWZoKgk,madmom,Any Metric Level Continuous,1.0,25,25
3QuyNWZoKgk,madmom,Any Metric Level Total,1.0,25,25
3QuyNWZoKgk,madmom,Information gain,0.7623411422945441,25,25
3QuyNWZoKgk,beat_this,F-measure,1.0,25,25
3QuyNWZoKgk,beat_this,Cemgil,0.8893702252844943,25,25
3QuyNWZoKgk,beat_this,Cemgil Best Metric Level,0.8893702252844943,25,25
3QuyNWZoKgk,beat_this,Goto,1.0,25,25
3QuyNWZoKgk,beat_this,P-score,1.0,25,25
3QuyNWZoKgk,beat_this,Correct Metric Level Continuous,1.0,25,25
3QuyNWZoKgk,beat_this,Correct Metric Level Total,1.0,25,25
3QuyNWZoKgk,beat_this,Any Metric Level Continuous,1.0,25,25
3QuyNWZoKgk,beat_this,Any Metric Level Total,1.0,25,25
